clientID,Gender,Education,Mariage,Age,creditAmount,paymentDelayed,defaultPayment
60227RXCK,M,primary,Married,54,6364769,No,1
02501QOFP,F,university,Married,74,8000720,Yes,1
80863EYIC,M,college,Married,21,2859810,No,0
08687NZJO,M,college,Married,90,334775,No,1
86857BFHC,F,others,Single,88,9834391,Yes,0
21263JFGY,M,college,Single,62,6079799,No,0
66171JZQO,M,primary,Married,97,7397688,No,0
68720IGFY,M,university,Married,37,9812847,No,1
83639LGGO,M,college,Married,28,9595062,No,0
25832ZNCB,M,primary,Married,66,3050663,Yes,0
16740JZNZ,M,university,Single,13,7505010,No,1
80765GQCL,F,college,Married,11,333140,No,0
49825EXWH,F,others,Married,93,8250482,Yes,1
66175UNAI,M,primary,Married,77,9509041,Yes,1
09883BWYC,F,primary,Single,76,5768491,No,1
40771MOGW,F,others,Married,46,5700507,No,1
42572IZQL,F,college,Single,30,1426240,Yes,1
51235FFBQ,F,primary,Married,85,6207036,No,0
29802RFDY,M,primary,Single,63,1155783,No,1
54781CLLM,F,college,Married,89,2973518,No,1
76904IWGE,M,others,Single,55,2263975,No,0
44229LWOB,M,college,Single,53,5034919,No,0
98998EMFK,M,university,Married,7,6603777,Yes,1
03927LKYZ,M,college,Single,81,2507959,Yes,1
57129POTB,F,primary,Single,13,1861799,No,0
55819CEPR,M,university,Single,98,3307324,Yes,1
21825QKPN,M,university,Married,35,5380430,No,1
92723RHIT,M,college,Married,92,4904811,No,1
04990FGYW,F,primary,Single,93,1393729,Yes,1
83187PZRA,M,university,Married,35,5951078,No,0
82691DCOH,F,others,Single,32,8300526,Yes,1
67262MXVC,M,primary,Married,81,267690,Yes,1
42076GTOL,F,primary,Single,65,9903973,No,0
00895VPDD,F,college,Single,42,7008492,Yes,1
38788FGCU,M,primary,Single,53,2836359,Yes,0
84619WZVW,F,others,Single,85,6127308,No,1
07398WVGU,M,primary,Single,32,4239868,Yes,0
18828LHUF,M,others,Married,45,3221614,No,0
01389HQKZ,F,university,Single,10,8613806,No,1
59191ZGCL,F,college,Single,1,4701745,Yes,1
73653OGSA,F,primary,Married,12,8731394,No,0
95776JBRI,M,primary,Married,91,393331,No,1
38733KKHD,M,primary,Married,62,8214277,No,1
49696HOAH,M,others,Married,31,5344677,No,1
45644FMXU,F,university,Single,74,2799815,No,0
10563VTRF,F,college,Single,63,872601,Yes,1
10248BKQF,F,others,Single,28,4006466,No,1
64260TUCL,F,others,Married,75,5144501,Yes,0
19502WLUR,F,college,Single,55,4414311,No,0
95986SNVO,M,university,Married,85,7531814,Yes,1
87422QTNQ,M,primary,Married,34,7263691,No,1
20223ODGS,F,primary,Married,13,5662610,No,0
70454FKXP,M,primary,Single,99,678735,Yes,1
68730JTWY,F,university,Married,90,4577438,Yes,0
47562FLAI,F,others,Married,62,7685434,Yes,0
64141QAKO,F,primary,Married,71,1346275,No,1
06140JFIT,F,others,Single,77,5585452,No,1
37820AOZJ,M,primary,Single,72,9248845,No,1
67679FADD,F,others,Married,48,526366,No,0
65267EPTC,F,others,Single,77,2191941,No,1
89103RYKS,F,university,Single,66,179146,Yes,0
06617WPDZ,F,others,Married,85,9624294,No,0
73435IWVC,M,others,Single,48,322327,Yes,0
96874TZHV,F,university,Married,5,5078639,No,0
54472WVCW,F,primary,Single,77,6386602,No,1
24630WEFU,F,others,Single,13,3349444,Yes,1
38720YCSM,M,primary,Single,75,7887322,No,1
76647CFRH,M,college,Single,82,6375627,No,1
54547ISHG,M,college,Married,12,6516223,No,0
11157EFMS,M,university,Single,73,603698,No,1
95211FEAN,M,college,Single,12,4534608,Yes,1
29561WMWO,M,others,Married,15,6293838,Yes,1
44109MVKB,F,primary,Married,97,5631020,Yes,1
60153ZDTP,F,university,Single,30,6153781,Yes,1
72544WZHQ,M,university,Married,46,8599737,No,1
67922REEB,F,primary,Single,74,7122167,Yes,1
04522SSLR,M,primary,Married,86,6831600,Yes,1
97669LOQX,M,university,Single,90,5739967,Yes,1
80137OHDR,F,others,Married,77,2220299,No,1
69540BLIG,F,primary,Single,53,5808929,Yes,0
09859ZRHB,M,primary,Married,50,4388718,No,0
74691PQMC,F,university,Married,91,9267444,Yes,1
33683SHYV,F,primary,Single,95,3236383,Yes,0
54339KNZR,F,primary,Married,5,8201214,No,1
54137QTFO,F,primary,Single,44,4725155,Yes,1
94619PGEO,M,university,Single,82,4474023,Yes,1
50994DVMS,M,others,Married,56,1397645,Yes,1
52892OJXN,M,university,Single,58,7547637,Yes,1
88274YNVH,M,college,Single,73,1422630,Yes,0
25941OIOO,F,primary,Single,66,5345455,No,0
43165GUBT,F,college,Married,4,8536102,No,0
78368ZMAN,M,college,Single,51,1904639,No,1
58845LSKR,F,university,Single,80,386002,No,1
14936QWWW,F,college,Single,95,2156306,Yes,1
33778ABQX,M,university,Married,99,1795995,Yes,0
97406WLSX,F,others,Single,55,4076210,Yes,0
07231NOUE,F,others,Single,85,1248471,No,1
08629DLGG,F,primary,Single,3,2971367,No,1
08961LIPQ,M,primary,Single,27,6264417,Yes,0
42813MGOO,F,primary,Single,72,1089835,Yes,1
92962ORTB,M,college,Married,23,2583795,Yes,1
64927PJQQ,F,university,Married,3,9595038,No,0
67686XQIL,F,others,Single,80,3975283,Yes,1
57027EDOZ,M,college,Single,42,1466112,Yes,1
59828MUTI,M,university,Married,12,1265196,No,1
19198SZZU,F,others,Married,37,161821,Yes,1
37054RRPV,M,college,Married,52,225607,Yes,1
91208OXFB,M,college,Single,3,5723293,Yes,1
89341YHMC,F,college,Single,93,1180828,Yes,0
81467YKTE,M,university,Married,58,2621336,No,1
40449AJLY,F,college,Single,32,9777006,No,0
80659JKED,M,college,Single,45,7730321,Yes,1
84665AUGD,F,primary,Married,87,5551592,Yes,1
50722WIDX,F,primary,Single,44,1775579,Yes,0
08112ERAA,F,college,Single,45,2046458,No,0
72310TNTM,M,others,Married,31,942317,Yes,0
75159BUWN,M,others,Married,35,2327251,Yes,1
49044RMXB,M,college,Single,57,3347413,No,1
